IDCliente,AbandonoEmpresa,Genero,CiudadanoTerceraEdad,Soltero-a,Dependientes,MesesAntiguedad,ServicioTelefonico,SuscripcionLineasMultiples,SuscripcionServicioInternet,SuscripcionSeguridadEnLinea,SuscripcionCopiaDeSeguridadEnLinea,SuscripcionProteccionDispositivo,SuscripcionSoporteTecnico,ServicioEnLineaTransmisionTV,internet.StreamingMovies,Contrato,FacturaElectronica,MetodoPago,CargosMensuales,CargosTotales,Cuentas_Diarias,Rango_MesesAntiguedad,CargosMensuales_por_MesesAntiguedad
1552-CZCLL,0,Femenino,0,1,1,55,1,0,No,0,0,0,0,0,0,Mensual,0,Tarjeta de credito (automatica),20.0,1087.25,0.6666666666666666,51-60,1100.0
1552-TKMXS,0,Femenino,0,1,0,42,1,0,No,0,0,0,0,0,0,Mensual,0,Tarjeta de credito (automatica),20.35,869.9,0.6783333333333333,41-50,854.7
1555-DJEQW,1,Femenino,0,1,1,70,1,1,Fibra optica,1,1,1,1,1,1,Dos años,1,Transferencia bancaria (automatica),114.2,7723.9,3.8066666666666666,71-80,7994.0
1555-HAPSU,0,Femenino,0,1,1,71,1,1,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),23.9,1663.5,0.7966666666666666,71-80,1696.8999999999999
1557-EMYVT,0,Femenino,0,0,0,43,1,1,Fibra optica,1,1,1,1,1,1,Dos años,0,Tarjeta de credito (automatica),115.05,4895.1,3.835,41-50,4947.15
1559-DTODC,0,Masculino,0,0,0,19,0,0,DSL,0,0,0,0,0,0,Mensual,1,Transferencia bancaria (automatica),25.15,468.35,0.8383333333333333,11-20,477.84999999999997
1561-BWHIN,0,Masculino,0,1,1,19,1,0,No,0,0,0,0,0,0,Anual,0,Cheque por correo,19.8,344.5,0.66,11-20,376.2
1563-IWQEX,0,Femenino,0,0,0,12,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.7,220.35,0.6566666666666666,11-20,236.39999999999998
1564-HJUVY,0,Masculino,0,0,0,4,1,0,DSL,0,1,0,1,1,0,Mensual,1,Transferencia bancaria (automatica),63.75,226.2,2.125,0-10,255.0
1564-NTYXF,1,Femenino,1,0,0,13,1,1,Fibra optica,0,0,0,0,0,1,Mensual,1,Cheque electronico,82.0,1127.2,2.7333333333333334,11-20,1066.0
1565-RHDJD,1,Femenino,0,0,1,4,1,1,Fibra optica,0,1,1,0,0,0,Mensual,0,Transferencia bancaria (automatica),84.05,333.55,2.8016666666666667,0-10,336.2
1567-DSCIC,1,Masculino,0,0,0,8,1,1,Fibra optica,0,1,1,0,1,0,Mensual,1,Cheque electronico,94.0,773.65,3.1333333333333333,0-10,752.0
1568-BEKZM,0,Masculino,1,1,0,70,1,1,DSL,1,1,1,1,1,1,Dos años,0,Tarjeta de credito (automatica),90.05,6333.4,3.0016666666666665,71-80,6303.5
1568-LJSZU,0,Masculino,0,1,1,68,1,1,DSL,1,1,1,1,1,1,Dos años,1,Tarjeta de credito (automatica),92.2,6392.85,3.0733333333333333,61-70,6269.6
1569-TTNYJ,1,Masculino,0,1,0,5,1,1,Fibra optica,0,1,0,0,0,0,Mensual,1,Cheque electronico,78.75,412.1,2.625,0-10,393.75
1571-SAVHK,1,Masculino,0,0,0,12,1,1,Fibra optica,0,0,0,1,1,1,Mensual,1,Cheque por correo,99.95,1132.75,3.3316666666666666,11-20,1199.4
1573-LGXBA,0,Masculino,0,1,1,57,1,0,Fibra optica,0,1,1,0,1,1,Anual,1,Tarjeta de credito (automatica),97.55,5598.0,3.2516666666666665,51-60,5560.349999999999
1574-DYCWE,0,Femenino,0,1,1,51,1,0,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,19.95,1028.75,0.6649999999999999,51-60,1017.4499999999999
1575-KRZZE,0,Femenino,0,0,0,4,1,0,DSL,1,1,0,0,0,0,Mensual,0,Cheque electronico,55.2,220.65,1.84,0-10,220.8
1576-PFZIW,0,Masculino,1,1,0,70,1,0,Fibra optica,1,1,1,0,1,1,Dos años,0,Tarjeta de credito (automatica),105.35,7511.9,3.5116666666666663,71-80,7374.5
1577-HKTFG,1,Femenino,0,1,0,30,1,0,No,0,0,0,0,0,0,Mensual,0,Transferencia bancaria (automatica),19.65,655.85,0.6549999999999999,31-40,589.5
1579-KLYDT,1,Masculino,0,0,0,7,1,1,Fibra optica,0,0,1,0,1,0,Mensual,1,Cheque electronico,90.45,593.45,3.015,0-10,633.15
1580-BMCMR,0,Masculino,1,0,0,19,1,0,Fibra optica,1,0,0,0,0,1,Mensual,1,Cheque electronico,87.3,1637.3,2.9099999999999997,11-20,1658.7
1582-RAFML,1,Masculino,0,0,0,1,1,1,DSL,0,1,0,1,0,0,Mensual,0,Cheque por correo,60.1,60.1,2.0033333333333334,0-10,60.1
1583-IHQZE,1,Masculino,0,0,0,12,1,1,Fibra optica,0,1,1,1,1,1,Mensual,1,Cheque por correo,112.95,1384.75,3.765,11-20,1355.4
1585-MQSSU,1,Masculino,0,0,0,17,1,0,DSL,0,0,0,1,0,0,Mensual,0,Cheque por correo,51.5,900.5,1.7166666666666666,11-20,875.5
1587-FKLZB,1,Masculino,1,1,1,66,1,1,Fibra optica,0,0,1,0,1,1,Mensual,1,Tarjeta de credito (automatica),99.5,6822.15,3.316666666666667,61-70,6567.0
1589-AGTLK,1,Masculino,0,0,0,3,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electronico,45.35,141.5,1.5116666666666667,0-10,136.05
1591-MQJTP,0,Masculino,1,1,0,51,1,1,Fibra optica,1,0,1,0,0,1,Anual,1,Transferencia bancaria (automatica),93.65,4839.15,3.121666666666667,51-60,4776.150000000001
1591-NFNLQ,1,Masculino,0,0,0,51,1,1,Fibra optica,0,0,1,0,0,0,Mensual,0,Tarjeta de credito (automatica),80.0,4242.35,2.6666666666666665,51-60,4080.0
1591-XWLGB,0,Femenino,0,1,0,71,1,0,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),19.85,1379.6,0.6616666666666667,71-80,1409.3500000000001
1596-BBVTG,1,Masculino,0,0,0,35,1,1,Fibra optica,0,0,0,0,0,0,Mensual,0,Tarjeta de credito (automatica),75.35,2636.05,2.5116666666666663,31-40,2637.25
1596-OQSPS,0,Femenino,0,0,0,11,1,0,DSL,0,1,0,0,0,0,Mensual,0,Cheque electronico,51.1,531.15,1.7033333333333334,11-20,562.1
1597-FZREH,1,Femenino,0,0,0,2,1,0,DSL,0,0,1,1,1,1,Mensual,0,Cheque electronico,76.4,160.8,2.546666666666667,0-10,152.8
1597-LHYNC,1,Femenino,1,0,0,26,1,1,Fibra optica,1,1,0,0,0,1,Mensual,1,Cheque electronico,95.0,2497.2,3.1666666666666665,21-30,2470.0
1599-EAHXY,0,Masculino,0,1,1,60,1,1,No,0,0,0,0,0,0,Anual,0,Tarjeta de credito (automatica),23.95,1506.4,0.7983333333333333,61-70,1437.0
1599-MMYRQ,0,Masculino,0,1,1,62,1,0,Fibra optica,1,1,0,0,0,0,Anual,1,Tarjeta de credito (automatica),81.45,4983.05,2.7150000000000003,61-70,5049.900000000001
1600-DILPE,0,Femenino,0,0,0,12,1,0,DSL,0,0,0,0,0,0,Mensual,1,Transferencia bancaria (automatica),45.0,524.35,1.5,11-20,540.0
1602-IJQQE,1,Femenino,0,0,0,4,1,1,Fibra optica,0,0,0,0,0,0,Mensual,0,Cheque electronico,75.35,338.1,2.5116666666666663,0-10,301.4
1608-GMEWB,0,Masculino,1,0,0,45,1,1,Fibra optica,0,0,0,0,1,1,Mensual,1,Transferencia bancaria (automatica),93.9,4200.25,3.1300000000000003,41-50,4225.5
1612-EOHDH,1,Femenino,0,0,0,1,1,0,DSL,0,0,0,0,0,0,Mensual,0,Cheque electronico,45.15,45.15,1.505,0-10,45.15
1614-JBEBI,0,Femenino,0,0,0,8,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,20.7,137.6,0.69,0-10,165.6
1618-CFHME,1,Femenino,0,0,0,2,1,1,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,75.9,143.35,2.5300000000000002,0-10,151.8
1619-YWUBB,0,Femenino,0,1,0,68,1,1,No,0,0,0,0,0,0,Dos años,1,Tarjeta de credito (automatica),24.95,1614.9,0.8316666666666667,61-70,1696.6
1621-YNCJH,0,Femenino,0,1,0,36,1,1,Fibra optica,1,1,1,1,0,1,Dos años,1,Tarjeta de credito (automatica),106.05,3834.4,3.5349999999999997,31-40,3817.7999999999997
1622-HSHSF,0,Femenino,0,0,0,1,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,19.55,19.55,0.6516666666666667,0-10,19.55
1623-NLDOT,1,Femenino,0,1,0,42,0,0,DSL,0,1,0,1,0,0,Anual,0,Cheque por correo,33.55,1445.3,1.1183333333333332,41-50,1409.1
1624-NALOJ,1,Masculino,1,0,0,5,1,1,Fibra optica,0,1,0,0,0,1,Mensual,1,Cheque electronico,89.8,502.6,2.993333333333333,0-10,449.0
1624-WOIWJ,1,Femenino,0,0,0,10,1,0,Fibra optica,1,0,0,0,1,0,Mensual,1,Cheque por correo,84.7,832.05,2.8233333333333333,11-20,847.0
1625-JAIIY,1,Femenino,0,1,1,68,1,1,Fibra optica,0,0,0,0,1,0,Anual,1,Cheque electronico,83.0,5685.8,2.7666666666666666,61-70,5644.0
1626-ERCMM,1,Masculino,1,1,0,20,1,1,Fibra optica,0,0,0,0,1,1,Mensual,1,Cheque electronico,94.55,1899.65,3.1516666666666664,21-30,1891.0
1627-AFWVJ,0,Femenino,0,0,0,29,1,0,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,19.4,554.25,0.6466666666666666,21-30,562.5999999999999
1628-BIZYP,0,Masculino,0,0,0,1,1,0,Fibra optica,0,1,0,0,0,1,Mensual,1,Cheque electronico,85.0,85.0,2.8333333333333335,0-10,85.0
1629-DQQVB,0,Femenino,0,0,0,14,1,0,DSL,1,0,0,0,0,0,Mensual,0,Transferencia bancaria (automatica),50.1,709.5,1.6700000000000002,11-20,701.4
1635-FJFCC,0,Femenino,0,0,0,5,1,0,DSL,0,0,0,0,0,0,Mensual,1,Tarjeta de credito (automatica),44.05,202.15,1.4683333333333333,0-10,220.25
1635-HDGFT,0,Femenino,0,0,1,19,1,0,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,20.5,398.55,0.6833333333333333,11-20,389.5
1635-NZATJ,0,Masculino,1,1,0,71,1,1,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),25.45,1789.65,0.8483333333333333,71-80,1806.95
1636-NTNCO,0,Masculino,1,0,0,4,0,0,DSL,0,1,0,0,1,1,Mensual,1,Tarjeta de credito (automatica),50.95,207.35,1.6983333333333335,0-10,203.8
1640-PLFMP,0,Femenino,0,0,0,1,1,0,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,70.25,70.25,2.341666666666667,0-10,70.25
1641-BYBTK,0,Masculino,0,0,1,6,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,20.2,98.35,0.6733333333333333,0-10,121.19999999999999
1641-RQDAY,0,Femenino,1,1,1,32,1,1,Fibra optica,0,1,0,0,1,1,Mensual,1,Cheque electronico,100.4,3217.65,3.3466666666666667,31-40,3212.8
1642-HMARX,0,Femenino,0,1,0,68,1,1,DSL,1,1,1,1,1,1,Dos años,1,Cheque electronico,91.7,6424.7,3.0566666666666666,61-70,6235.6
1644-IRKSF,1,Femenino,0,1,1,33,1,0,Fibra optica,0,0,1,0,1,1,Anual,1,Cheque electronico,93.8,3124.5,3.1266666666666665,31-40,3095.4
1656-DRSMG,0,Femenino,0,0,0,63,1,1,Fibra optica,0,1,1,1,1,1,Mensual,1,Tarjeta de credito (automatica),109.85,7002.95,3.6616666666666666,61-70,6920.549999999999
1657-DYMBM,0,Masculino,0,1,0,53,1,0,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),19.9,1110.05,0.6633333333333333,51-60,1054.6999999999998
1658-BYGOY,1,Masculino,1,0,0,18,1,1,Fibra optica,0,0,0,0,1,1,Mensual,1,Cheque electronico,95.45,1752.55,3.1816666666666666,11-20,1718.1000000000001
1658-TJVOA,0,Femenino,1,0,0,6,1,0,Fibra optica,1,0,0,0,0,0,Mensual,1,Cheque electronico,74.1,450.9,2.4699999999999998,0-10,444.59999999999997
1658-XUHBX,0,Femenino,1,1,1,59,1,1,Fibra optica,0,0,1,0,0,1,Mensual,1,Tarjeta de credito (automatica),88.75,5348.65,2.9583333333333335,51-60,5236.25
1660-HSOOQ,1,Masculino,0,0,0,1,1,0,DSL,0,0,1,0,0,0,Mensual,1,Cheque por correo,49.65,49.65,1.655,0-10,49.65
1661-CZBAU,0,Masculino,0,0,0,48,1,1,DSL,1,0,0,1,0,1,Anual,1,Transferencia bancaria (automatica),70.95,3629.2,2.365,41-50,3405.6000000000004
1663-MHLHE,0,Masculino,0,0,0,1,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.2,19.2,0.64,0-10,19.2
1666-JXLKU,0,Femenino,0,0,0,37,1,1,Fibra optica,0,0,1,0,1,1,Mensual,1,Cheque electronico,100.05,3810.55,3.335,31-40,3701.85
1666-JZPZT,0,Masculino,0,0,0,27,1,1,DSL,0,0,0,0,0,0,Mensual,0,Cheque por correo,49.0,1291.35,1.6333333333333333,21-30,1323.0
1670-SVOWZ,1,Femenino,0,1,1,14,1,0,Fibra optica,0,1,0,1,0,1,Mensual,1,Tarjeta de credito (automatica),89.65,1208.35,2.9883333333333337,11-20,1255.1000000000001
1676-MQAOA,0,Masculino,0,0,0,72,1,0,DSL,1,1,1,1,1,0,Dos años,1,Transferencia bancaria (automatica),75.1,5336.35,2.503333333333333,71-80,5407.2
1678-FYZOW,1,Femenino,0,0,0,3,1,0,Fibra optica,0,0,0,0,1,0,Mensual,1,Cheque electronico,79.4,244.65,2.646666666666667,0-10,238.20000000000002
1679-JRFBR,0,Femenino,0,1,1,70,1,1,Fibra optica,1,1,1,0,1,1,Anual,1,Tarjeta de credito (automatica),108.15,7930.55,3.605,71-80,7570.5
1680-VDCWW,0,Masculino,0,1,0,12,1,0,No,0,0,0,0,0,0,Anual,0,Transferencia bancaria (automatica),19.8,202.25,0.66,11-20,237.60000000000002
1682-VCOIO,0,Masculino,0,0,0,23,1,0,No,0,0,0,0,0,0,Anual,0,Cheque por correo,20.45,481.1,0.6816666666666666,21-30,470.34999999999997
1684-FLBGS,0,Femenino,0,1,1,23,1,1,DSL,0,1,0,1,1,0,Mensual,1,Tarjeta de credito (automatica),69.5,1652.1,2.316666666666667,21-30,1598.5
1685-BQULA,0,Femenino,0,0,0,40,1,1,Fibra optica,0,1,1,0,1,0,Mensual,1,Transferencia bancaria (automatica),93.4,3756.4,3.1133333333333337,41-50,3736.0
1685-VAYJF,0,Masculino,0,0,0,11,1,0,DSL,0,0,0,0,0,0,Mensual,0,Tarjeta de credito (automatica),45.2,492.0,1.5066666666666668,11-20,497.20000000000005
1686-STUHN,0,Masculino,0,0,0,42,1,0,No,0,0,0,0,0,0,Anual,0,Transferencia bancaria (automatica),19.8,849.9,0.66,41-50,831.6
1689-MRZQR,1,Masculino,0,1,1,34,1,0,Fibra optica,0,0,0,0,1,0,Mensual,0,Cheque electronico,78.3,2564.3,2.61,31-40,2662.2
1689-YQBYY,0,Femenino,0,0,1,12,1,1,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,76.6,893.0,2.5533333333333332,11-20,919.1999999999999
1696-HXOWK,0,Femenino,0,1,0,71,1,1,Fibra optica,1,1,0,0,1,0,Anual,0,Cheque por correo,95.65,6856.95,3.1883333333333335,71-80,6791.150000000001
1696-MZVAU,0,Masculino,0,1,1,39,0,0,DSL,0,0,0,0,0,0,Anual,1,Tarjeta de credito (automatica),25.25,947.75,0.8416666666666667,31-40,984.75
1697-BCSHV,0,Femenino,0,1,1,58,1,1,DSL,0,1,0,0,1,0,Mensual,1,Transferencia bancaria (automatica),66.8,3970.4,2.2266666666666666,51-60,3874.3999999999996
1697-LYYYX,0,Femenino,0,1,1,61,1,0,No,0,0,0,0,0,0,Anual,0,Tarjeta de credito (automatica),19.1,1143.8,0.6366666666666667,61-70,1165.1000000000001
1697-NVVGY,0,Masculino,1,1,0,19,1,0,DSL,1,0,1,0,1,0,Mensual,0,Transferencia bancaria (automatica),66.4,1286.05,2.2133333333333334,11-20,1261.6000000000001
1698-XFZCI,0,Masculino,0,0,0,61,1,1,Fibra optica,1,1,1,0,1,1,Anual,1,Cheque electronico,107.75,6521.9,3.591666666666667,61-70,6572.75
1699-HPSBG,1,Masculino,0,0,0,12,1,0,DSL,0,0,0,1,1,0,Anual,1,Cheque electronico,59.8,727.8,1.9933333333333332,11-20,717.5999999999999
1699-TLDLZ,0,Femenino,0,1,1,16,1,0,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,19.7,301.55,0.6566666666666666,11-20,315.2
1699-UOTXU,0,Masculino,0,0,0,60,1,0,DSL,1,1,1,0,0,0,Dos años,0,Cheque electronico,61.4,3638.25,2.0466666666666664,61-70,3684.0
1702-CCFNJ,0,Masculino,0,1,0,52,1,1,DSL,0,1,0,1,0,0,Mensual,0,Transferencia bancaria (automatica),61.35,3169.55,2.045,51-60,3190.2000000000003
1703-MGIAB,0,Femenino,0,0,0,17,1,1,DSL,0,0,1,1,1,0,Mensual,1,Cheque por correo,69.0,1108.0,2.3,11-20,1173.0
1704-NRWYE,1,Femenino,1,0,0,9,1,0,Fibra optica,0,0,0,0,1,0,Mensual,1,Cheque electronico,80.85,751.65,2.695,0-10,727.65
1705-GUHPV,0,Femenino,0,0,0,63,1,1,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,24.2,1618.2,0.8066666666666666,61-70,1524.6
1707-HABPF,0,Femenino,1,0,0,46,1,0,Fibra optica,0,1,1,0,1,0,Anual,1,Transferencia bancaria (automatica),91.3,4126.35,3.0433333333333334,41-50,4199.8
1708-PBBOA,0,Femenino,0,0,0,42,0,0,DSL,1,1,1,1,0,1,Anual,1,Cheque electronico,54.75,2348.45,1.825,41-50,2299.5
1709-EJDOX,0,Femenino,0,1,1,47,1,0,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,19.75,948.9,0.6583333333333333,41-50,928.25
1710-RCXUS,0,Masculino,0,1,0,51,1,1,Fibra optica,0,1,0,0,0,1,Anual,1,Tarjeta de credito (automatica),90.35,4614.55,3.0116666666666663,51-60,4607.849999999999
1716-LSAMB,0,Masculino,0,1,1,45,1,0,DSL,1,0,0,1,0,0,Dos años,0,Transferencia bancaria (automatica),54.65,2553.7,1.8216666666666665,41-50,2459.25
1722-LDZJS,0,Masculino,0,1,1,53,1,0,No,0,0,0,0,0,0,Anual,0,Tarjeta de credito (automatica),20.2,1068.15,0.6733333333333333,51-60,1070.6
1723-HKXJQ,1,Masculino,0,0,0,42,1,1,Fibra optica,0,1,0,0,1,1,Mensual,1,Cheque electronico,101.75,4273.45,3.3916666666666666,41-50,4273.5
1724-BQUHA,1,Masculino,1,0,0,5,1,0,Fibra optica,0,0,0,0,1,1,Mensual,1,Cheque electronico,89.5,477.7,2.9833333333333334,0-10,447.5
1724-IQWNM,0,Masculino,0,0,1,1,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,19.3,19.3,0.6433333333333333,0-10,19.3
1725-IQNIY,1,Masculino,0,1,0,54,1,0,Fibra optica,1,1,1,1,1,1,Dos años,0,Transferencia bancaria (automatica),109.75,6110.2,3.658333333333333,51-60,5926.5
1725-MIMXW,1,Masculino,0,0,1,1,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,19.45,19.45,0.6483333333333333,0-10,19.45
1728-BQDMA,0,Femenino,0,0,0,2,1,0,DSL,0,0,0,0,0,0,Mensual,0,Cheque electronico,44.45,82.7,1.4816666666666667,0-10,88.9
1728-CXQBE,0,Masculino,1,1,0,64,1,1,Fibra optica,0,1,1,0,0,1,Mensual,1,Cheque electronico,94.25,6081.4,3.1416666666666666,61-70,6032.0
1729-VLAZJ,0,Femenino,0,0,1,10,0,0,DSL,1,1,0,1,0,0,Anual,0,Cheque por correo,40.25,411.45,1.3416666666666666,11-20,402.5
1730-VFMWO,0,Femenino,0,1,0,34,1,0,DSL,0,0,0,1,0,0,Mensual,0,Transferencia bancaria (automatica),50.2,1815.3,1.6733333333333333,31-40,1706.8000000000002
1730-ZMAME,0,Femenino,1,0,0,32,1,0,Fibra optica,0,0,0,0,0,1,Mensual,1,Cheque electronico,79.5,2665.0,2.65,31-40,2544.0
1731-TVIUK,1,Femenino,0,0,0,4,1,1,Fibra optica,0,1,0,1,0,1,Mensual,1,Cheque electronico,93.5,362.2,3.1166666666666667,0-10,374.0
1732-FEKLD,0,Femenino,0,0,0,54,1,1,Fibra optica,0,1,1,0,1,0,Anual,1,Transferencia bancaria (automatica),94.75,5121.75,3.158333333333333,51-60,5116.5
1732-VHUBQ,1,Femenino,1,1,1,47,1,0,Fibra optica,0,0,0,0,0,0,Mensual,0,Transferencia bancaria (automatica),70.55,3309.25,2.3516666666666666,41-50,3315.85
1734-ZMNTZ,0,Femenino,0,1,1,11,1,1,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,25.0,300.7,0.8333333333333334,11-20,275.0
1735-XMJVH,0,Masculino,0,1,1,8,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,19.35,152.6,0.645,0-10,154.8
1740-CSDJP,1,Masculino,0,0,0,1,0,0,DSL,0,0,0,0,0,1,Mensual,1,Transferencia bancaria (automatica),35.25,35.25,1.175,0-10,35.25
1741-WTPON,0,Masculino,0,1,1,56,1,1,Fibra optica,1,1,1,1,1,1,Dos años,0,Cheque por correo,115.85,6567.9,3.8616666666666664,51-60,6487.599999999999
1744-JHKYS,0,Femenino,0,1,0,34,1,1,No,0,0,0,0,0,0,Mensual,0,Cheque electronico,24.7,780.2,0.8233333333333334,31-40,839.8
1746-TGTWV,0,Masculino,0,1,0,1,1,0,Fibra optica,0,0,1,0,0,0,Mensual,0,Tarjeta de credito (automatica),75.35,75.35,2.5116666666666663,0-10,75.35
1750-CSKKM,1,Masculino,0,0,1,9,1,0,DSL,0,0,0,0,1,0,Mensual,0,Cheque electronico,55.35,449.75,1.845,0-10,498.15000000000003
1751-NCDLI,0,Masculino,1,1,0,46,1,1,Fibra optica,0,0,1,0,1,1,Mensual,1,Cheque electronico,98.85,4564.9,3.295,41-50,4547.099999999999
1752-OZXFY,0,Masculino,0,1,0,60,1,0,DSL,1,0,0,0,1,0,Anual,1,Cheque por correo,59.8,3561.15,1.9933333333333332,61-70,3588.0
1754-GKYPY,0,Masculino,1,1,0,22,1,0,Fibra optica,0,0,0,0,1,1,Mensual,1,Transferencia bancaria (automatica),89.75,1938.9,2.9916666666666667,21-30,1974.5
1755-FZQEC,0,Masculino,0,0,0,39,1,0,No,0,0,0,0,0,0,Anual,0,Cheque por correo,19.9,791.15,0.6633333333333333,31-40,776.0999999999999
1755-RMCXH,0,Masculino,0,1,1,2,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,20.3,40.25,0.6766666666666666,0-10,40.6
1757-TCATG,0,Masculino,0,1,1,35,1,0,No,0,0,0,0,0,0,Anual,0,Transferencia bancaria (automatica),20.05,746.75,0.6683333333333333,31-40,701.75
1760-CAZHT,0,Masculino,0,0,1,25,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,20.8,460.2,0.6933333333333334,21-30,520.0
1761-AEZZR,1,Masculino,0,0,0,1,1,0,Fibra optica,0,0,0,0,1,0,Mensual,1,Cheque electronico,79.55,79.55,2.6516666666666664,0-10,79.55
1763-KUAAW,0,Femenino,1,0,0,18,1,0,No,0,0,0,0,0,0,Anual,0,Transferencia bancaria (automatica),20.35,369.6,0.6783333333333333,11-20,366.3
1763-WQFUK,0,Masculino,0,0,0,3,1,0,DSL,0,0,0,1,0,0,Mensual,1,Cheque por correo,50.5,147.75,1.6833333333333333,0-10,151.5
1764-VUUMT,0,Masculino,0,0,1,66,1,0,No,0,0,0,0,0,0,Dos años,0,Tarjeta de credito (automatica),19.95,1269.1,0.6649999999999999,61-70,1316.7
1766-GKNMI,0,Masculino,0,0,0,29,1,1,Fibra optica,0,0,0,0,0,1,Mensual,1,Cheque electronico,84.9,2516.2,2.83,21-30,2462.1000000000004
1767-CJKBA,0,Masculino,0,0,0,66,1,1,No,0,0,0,0,0,0,Dos años,0,Cheque por correo,25.1,1697.7,0.8366666666666667,61-70,1656.6000000000001
1767-TGTKO,0,Femenino,0,1,1,8,1,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electronico,45.45,411.75,1.5150000000000001,0-10,363.6
1768-HNVGJ,0,Femenino,1,0,0,45,1,1,DSL,1,0,0,1,0,1,Mensual,1,Cheque electronico,70.05,3062.45,2.335,41-50,3152.25
1768-ZAIFU,1,Femenino,1,0,0,1,0,0,DSL,0,0,0,0,0,0,Mensual,1,Cheque electronico,25.2,25.2,0.84,0-10,25.2
1769-GRUIK,0,Femenino,0,0,0,18,1,0,Fibra optica,0,0,0,0,0,0,Mensual,1,Cheque electronico,71.1,1247.75,2.3699999999999997,11-20,1279.8
1771-OADNZ,1,Masculino,1,1,0,29,1,1,Fibra optica,0,1,1,0,0,1,Mensual,1,Cheque electronico,95.9,2745.2,3.1966666666666668,21-30,2781.1000000000004
1775-KWJKQ,0,Masculino,0,1,1,72,1,1,DSL,1,1,1,1,1,1,Dos años,0,Tarjeta de credito (automatica),89.85,6562.9,2.9949999999999997,71-80,6469.2
1776-SPBWV,0,Femenino,0,1,1,34,1,0,No,0,0,0,0,0,0,Anual,1,Transferencia bancaria (automatica),20.1,682.1,0.67,31-40,683.4000000000001
1777-JYQPJ,0,Masculino,0,0,0,2,0,0,DSL,0,0,0,0,0,0,Mensual,0,Cheque por correo,24.3,38.45,0.81,0-10,48.6
1779-PWPMG,0,Femenino,1,1,0,72,1,1,Fibra optica,1,1,1,1,1,1,Dos años,1,Transferencia bancaria (automatica),114.65,8333.95,3.8216666666666668,71-80,8254.800000000001
1784-BXEFA,0,Femenino,0,0,0,10,1,0,No,0,0,0,0,0,0,Mensual,1,Cheque por correo,20.55,187.35,0.685,11-20,205.5
1784-EZDKJ,0,Masculino,0,1,0,51,1,1,Fibra optica,0,1,1,0,1,1,Anual,1,Transferencia bancaria (automatica),106.8,5498.8,3.56,51-60,5446.8
1785-BPHTP,0,Masculino,0,1,1,28,1,0,Fibra optica,0,0,1,0,1,0,Mensual,0,Cheque electronico,85.45,2289.9,2.8483333333333336,21-30,2392.6
1790-NESIO,0,Femenino,0,0,0,13,1,0,No,0,0,0,0,0,0,Dos años,1,Cheque por correo,20.4,261.3,0.6799999999999999,11-20,265.2
1791-PQHBB,0,Femenino,0,0,1,2,1,0,DSL,1,0,0,0,0,1,Mensual,1,Tarjeta de credito (automatica),61.2,125.95,2.04,0-10,122.4
1792-UXAFY,1,Femenino,1,0,0,17,1,0,Fibra optica,0,1,1,0,1,0,Mensual,1,Cheque electronico,89.15,1496.9,2.9716666666666667,11-20,1515.5500000000002
1794-HBQTJ,1,Femenino,0,0,0,1,1,0,DSL,1,0,0,0,0,0,Mensual,1,Tarjeta de credito (automatica),48.6,48.6,1.62,0-10,48.6
1794-SWWKL,0,Masculino,0,1,1,15,1,1,DSL,0,0,1,1,0,0,Mensual,1,Transferencia bancaria (automatica),59.65,867.1,1.9883333333333333,11-20,894.75
1796-JANOW,0,Femenino,0,0,0,2,1,0,No,0,0,0,0,0,0,Mensual,0,Cheque por correo,19.95,38.15,0.6649999999999999,0-10,39.9
1803-BGNBD,0,Femenino,0,0,0,12,1,0,DSL,0,1,0,1,0,0,Mensual,1,Cheque electronico,54.3,654.5,1.8099999999999998,11-20,651.5999999999999
